feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
175560|Snowfield Lake|Lake|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/06/2019|Official|Board Decision|01/01/1970|390559N|1070501W|39.0996841|-107.0835204|||0.0|0.0
175561|Geneva Lake|Lake|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/06/2019||||390549N|1070439W|39.096985|-107.0775574|||0.0|0.0
175562|Arkansas Mountain|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020||||390504N|1070641W|39.0844046|-107.1114044|||0.0|0.0
175563|Silver Creek|Stream|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390413N|1070525W|39.0702666|-107.0903249|390540N|1070624W|39.0944444|-107.1066667
175564|Crystal|Populated Place|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|06/07/2022||||390333N|1070604W|39.0591557|-107.1011585|||0.0|0.0
175565|Mineral Point|Cliff|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390340N|1070514W|39.0611001|-107.0872693|||0.0|0.0
175566|Lead King Basin|Basin|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390446N|1070455W|39.079433|-107.0819914|||0.0|0.0
175567|Devils Rockpile|Pillar|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390505N|1070419W|39.0847108|-107.0719912|||0.0|0.0
175568|Hasley Basin|Basin|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978||Official|Board Decision|01/01/1964|390343N|1070229W|39.0619336|-107.0414351|||0.0|0.0
175569|Fravert Basin|Basin|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390351N|1070053W|39.0641559|-107.014768|||0.0|0.0
175570|Frigid Air Pass|Gap|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390313N|1070113W|39.0536006|-107.0203237|||0.0|0.0
175571|Little Bear Mountain|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020||||390250N|1070658W|39.0472165|-107.1161255|||0.0|0.0
175572|Bear Mountain|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020||||390206N|1070642W|39.0350779|-107.1116392|||0.0|0.0
175573|Chimneys of Treasure Mountain|Pillar|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390156N|1070659W|39.0322118|-107.1164364|||0.0|0.0
175574|Bear Basin|Basin|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390158N|1070612W|39.0327674|-107.1033807|||0.0|0.0
175575|Treasury Mountain|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020||||390051N|1070556W|39.0142783|-107.0989662|||0.0|0.0
175576|Rock Creek|Stream|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390125N|1070309W|39.0236011|-107.0525464|390023N|1070509W|39.0063889|-107.0858333
175577|Crystal Peak|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020||||390209N|1070516W|39.0358445|-107.087899|||0.0|0.0
175578|Galena Mountain|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020||||390121N|1070435W|39.0224949|-107.0764896|||0.0|0.0
175579|Galena Lake|Lake|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/06/2019||||390120N|1070424W|39.0221287|-107.0734659|||0.0|0.0
175580|Elko Lake|Lake|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/06/2019||||390056N|1070307W|39.0155044|-107.0518603|||0.0|0.0
175581|Emerald Lake|Lake|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/04/2019||||390036N|1070234W|39.0100994|-107.0427113|||0.0|0.0
175582|Schofield Park|Flat|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390201N|1070312W|39.0336009|-107.0533798|||0.0|0.0
175584|Rustler Gulch|Valley|Colorado|08|Gunnison|051|Oh-be-joyful|10/13/1978|01/12/2018||||385922N|1070025W|38.9894217|-107.0069427|390109N|1065839W|39.0190541|-106.977367
175586|Mount Bellview|Summit|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|02/19/2020||||390058N|1070100W|39.0161286|-107.0165305|||0.0|0.0
175587|Schofield Pass|Gap|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390054N|1070248W|39.0149903|-107.046713|||0.0|0.0
175589|East Fork South Fork Crystal River|Stream|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390126N|1070309W|39.0238789|-107.0525464|390205N|1070004W|39.0347222|-107.0011111
175590|South Fork Crystal River|Stream|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390333N|1070614W|39.0591557|-107.1039362|390125N|1070307W|39.0236111|-107.0519444
175591|North Fork Crystal River|Stream|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390333N|1070614W|39.0591557|-107.1039362|390258N|1070011W|39.0494444|-107.0030556
175592|Elko Park|Flat|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|||||390051N|1070313W|39.014157|-107.0536577|||0.0|0.0
175593|Crystal Canyon|Valley|Colorado|08|Gunnison|051|Snowmass Mountain|10/13/1978|08/30/2022||||390332N|1070611W|39.0587822|-107.1030678|390120N|1070258W|39.0222469|-107.0494847
175594|Bob Creek|Stream|Colorado|08|Garfield|045|Cottonwood Pass|10/13/1978|||||393609N|1070431W|39.6024839|-107.0753263|393411N|1070603W|39.5697222|-107.1008333
175595|Cottonwood Pass|Gap|Colorado|08|Eagle|037|Cottonwood Pass|10/13/1978|||||393150N|1070329W|39.5305391|-107.0581034|||0.0|0.0
